date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:23:25	419048/419048	---M--	200	added ('OK')	image/jpeg	etag:%2263c779a3589a4cb1b8fc25e468526c82%22	https://irfiles.technologyverse.com/srwa/Sukuk.jpg	C:/My%20Web%20Sites/ir/irfiles.technologyverse.com/srwa/Sukuk.jpg	(from https://investorrelations.contact.eg/)
16:23:25	302038/302038	---M--	200	added ('OK')	image/jpeg	etag:%22abc058cd5e6b32d24d37774445280c74%22	https://irfiles.technologyverse.com/srwa/Market-leadership.jpg	C:/My%20Web%20Sites/ir/irfiles.technologyverse.com/srwa/Market-leadership.jpg	(from https://investorrelations.contact.eg/)
16:23:25	22874/22874	---M-Z	200	added ('OK')	text/html	date:Mon,%2004%20May%202026%2013:23:25%20GMT	https://investorrelations.contact.eg/en/ir-contacts	C:/My%20Web%20Sites/ir/investorrelations.contact.eg/en/ir-contacts.html	(from https://investorrelations.contact.eg/)
16:23:26	33497/33497	---M-Z	200	added ('OK')	image/svg+xml	etag:%2282d9-644df60ebc676-gzip%22	https://investorrelations.contact.eg/clients/srwa/dist/img/award.svg	C:/My%20Web%20Sites/ir/investorrelations.contact.eg/clients/srwa/dist/img/award.svg	(from https://investorrelations.contact.eg/)
16:23:26	25902/25902	---MCZ	200	added ('OK')	application/x-javascript	etag:W/%22ad064c1f091d5ef6576bec5b84fc5d21%22	https://irfiles.technologyverse.com/themes/common/js/linq.min.js	C:/My%20Web%20Sites/ir/irfiles.technologyverse.com/themes/common/js/linq.min.js	(from https://investorrelations.contact.eg/)
16:23:26	135471/135471	---MCZ	200	added ('OK')	image/svg+xml	etag:%222112f-644df60ebc676-gzip%22	https://investorrelations.contact.eg/clients/srwa/dist/img/award2.svg	C:/My%20Web%20Sites/ir/investorrelations.contact.eg/clients/srwa/dist/img/award2.svg	(from https://investorrelations.contact.eg/)
16:23:26	740607/740607	---MCZ	200	added ('OK')	text/javascript	etag:W/%221690916c9425fddb45e514ca4c8f0fb3%22	https://irfiles.technologyverse.com/themes/srwa/working/js/master-new2.js	C:/My%20Web%20Sites/ir/irfiles.technologyverse.com/themes/srwa/working/js/master-new2.js	(from https://investorrelations.contact.eg/)
16:23:27	86927/86927	---M--	200	added ('OK')	text/javascript	date:Tue,%2003%20Mar%202020%2019:15:00%20GMT	https://ajax.googleapis.com/ajax/libs/jquery/3.3.1/jquery.min.js	C:/My%20Web%20Sites/ir/ajax.googleapis.com/ajax/libs/jquery/3.3.1/jquery.min.js	(from https://investorrelations.contact.eg/)
16:23:27	314/314	---MC-	404	error ('Not%20Found')	application/xml	date:Mon,%2004%20May%202026%2013:23:27%20GMT	https://irfiles.technologyverse.com/themes/srwa/working/img/icons/sort-both.png	C:/My%20Web%20Sites/ir/irfiles.technologyverse.com/themes/srwa/working/img/icons/sort-both.png	(from https://irfiles.technologyverse.com/themes/srwa/working/css/main-ltr-new.css)
16:23:28	333/333	---MC-	404	error ('Not%20Found')	application/xml	date:Mon,%2004%20May%202026%2013:23:28%20GMT	https://irfiles.technologyverse.com/themes/srwa/working/img/icons/sort-asc.png	C:/My%20Web%20Sites/ir/irfiles.technologyverse.com/themes/srwa/working/img/icons/sort-asc.png	(from https://irfiles.technologyverse.com/themes/srwa/working/css/main-ltr-new.css)
16:23:28	334/334	---MC-	404	error ('Not%20Found')	application/xml	date:Mon,%2004%20May%202026%2013:23:27%20GMT	https://irfiles.technologyverse.com/themes/srwa/working/img/icons/sort-desc.png	C:/My%20Web%20Sites/ir/irfiles.technologyverse.com/themes/srwa/working/img/icons/sort-desc.png	(from https://irfiles.technologyverse.com/themes/srwa/working/css/main-ltr-new.css)
16:23:29	309/309	---MC-	404	error ('Not%20Found')	application/xml	date:Mon,%2004%20May%202026%2013:23:28%20GMT	https://irfiles.technologyverse.com/themes/srwa/working/img/icons/play.png	C:/My%20Web%20Sites/ir/irfiles.technologyverse.com/themes/srwa/working/img/icons/play.png	(from https://irfiles.technologyverse.com/themes/srwa/working/css/main-ltr-new.css)
16:23:30	692265/692265	---M--	200	added ('OK')	image/png	etag:%22b96b143eb8657a009cb9ae5fe72baea5%22	https://irfiles.technologyverse.com/themes/srwa/working/img/banner.png	C:/My%20Web%20Sites/ir/irfiles.technologyverse.com/themes/srwa/working/img/banner.png	(from https://irfiles.technologyverse.com/themes/srwa/working/css/main-ltr-new.css)
16:23:30	2477/2477	---M--	200	added ('OK')	image/png	etag:%22fe7658fb7f277f4c838fdfb2cbc6629d%22	https://irfiles.technologyverse.com/themes/srwa/working/img/stock-widget-bg.png	C:/My%20Web%20Sites/ir/irfiles.technologyverse.com/themes/srwa/working/img/stock-widget-bg.png	(from https://irfiles.technologyverse.com/themes/srwa/working/css/main-ltr-new.css)
16:23:30	7126/7126	---M--	200	added ('OK')	image/png	etag:%2263e9abfd1fcb408496d1ade11a3f0bdf%22	https://irfiles.technologyverse.com/themes/srwa/working/img/icons/ui-icons_444444_256x240.png	C:/My%20Web%20Sites/ir/irfiles.technologyverse.com/themes/srwa/working/img/icons/ui-icons_444444_256x240.png	(from https://irfiles.technologyverse.com/themes/srwa/working/css/main-ltr-new.css)
16:23:31	7110/7110	---M--	200	added ('OK')	image/png	etag:%225ea91bb28630068fd8c33dd1b30cddfd%22	https://irfiles.technologyverse.com/themes/srwa/working/img/icons/ui-icons_555555_256x240.png	C:/My%20Web%20Sites/ir/irfiles.technologyverse.com/themes/srwa/working/img/icons/ui-icons_555555_256x240.png	(from https://irfiles.technologyverse.com/themes/srwa/working/css/main-ltr-new.css)
16:23:32	30727/30727	---M-Z	200	added ('OK')	text/html	date:Mon,%2004%20May%202026%2013:23:32%20GMT	http://investorrelations.contact.eg/en	C:/My%20Web%20Sites/ir/investorrelations.contact.eg/en.html	(from https://investorrelations.contact.eg/en/)
16:23:32	26963/26963	---M-Z	200	added ('OK')	text/html	date:Mon,%2004%20May%202026%2013:23:32%20GMT	https://investorrelations.contact.eg/ar/at-a-glance	C:/My%20Web%20Sites/ir/investorrelations.contact.eg/ar/at-a-glance.html	(from https://investorrelations.contact.eg/en/at-a-glance)
16:23:33	108096/108096	---M-Z	200	added ('OK')	text/html	date:Mon,%2004%20May%202026%2013:23:33%20GMT	https://investorrelations.contact.eg/ar/results-center	C:/My%20Web%20Sites/ir/investorrelations.contact.eg/ar/results-center.html	(from https://investorrelations.contact.eg/en/results-center)
16:23:33	346/346	---M--	200	added ('OK')	image/png	etag:%22ade016477f3987fba614b0b4c28c0655%22	https://irfiles.technologyverse.com/themes/srwa/img/icons/pdf-icon.png	C:/My%20Web%20Sites/ir/irfiles.technologyverse.com/themes/srwa/img/icons/pdf-icon.png	(from https://investorrelations.contact.eg/en/results-center)
16:23:34	32639/32639	---M-Z	200	added ('OK')	text/html	date:Mon,%2004%20May%202026%2013:23:34%20GMT	https://investorrelations.contact.eg/ar/presentations-&-publications	C:/My%20Web%20Sites/ir/investorrelations.contact.eg/ar/presentations-&-publications.html	(from https://investorrelations.contact.eg/en/presentations-&-publications)
16:23:34	137771/137771	---M-Z	200	added ('OK')	text/html	date:Mon,%2004%20May%202026%2013:23:34%20GMT	https://investorrelations.contact.eg/ar/News-&-Disclosures	C:/My%20Web%20Sites/ir/investorrelations.contact.eg/ar/News-&-Disclosures.html	(from https://investorrelations.contact.eg/en/News-&-Disclosures)
16:23:35	73355/73355	---M-Z	200	added ('OK')	text/html	date:Mon,%2004%20May%202026%2013:23:34%20GMT	https://investorrelations.contact.eg/ar/board-&-shareholder-actions	C:/My%20Web%20Sites/ir/investorrelations.contact.eg/ar/board-&-shareholder-actions.html	(from https://investorrelations.contact.eg/en/board-&-shareholder-actions)
16:23:35	50511/50511	---M-Z	200	added ('OK')	text/html	date:Mon,%2004%20May%202026%2013:23:35%20GMT	https://investorrelations.contact.eg/ar/share-and-corporate-information	C:/My%20Web%20Sites/ir/investorrelations.contact.eg/ar/share-and-corporate-information.html	(from https://investorrelations.contact.eg/en/share-and-corporate-information)
16:23:36	122926/122926	---M-Z	200	added ('OK')	application/json	date:Mon,%2004%20May%202026%2013:23:35%20GMT	https://investorrelations.contact.eg/api/stockhistory	C:/My%20Web%20Sites/ir/investorrelations.contact.eg/api/stockhistory.json	(from https://investorrelations.contact.eg/en/share-and-corporate-information)
16:23:36	248584/248584	---MCZ	200	added ('OK')	application/x-javascript	etag:W/%22000298ba873ef79d5faceb88e060ff01%22	https://irfiles.technologyverse.com/themes/common/js/jquery-ui-1.11.2.min.js	C:/My%20Web%20Sites/ir/irfiles.technologyverse.com/themes/common/js/jquery-ui-1.11.2.min.js	(from https://investorrelations.contact.eg/en/share-and-corporate-information)
16:23:36	28094/28094	---M-Z	200	added ('OK')	text/html	date:Mon,%2004%20May%202026%2013:23:36%20GMT	https://investorrelations.contact.eg/ar/leadership	C:/My%20Web%20Sites/ir/investorrelations.contact.eg/ar/leadership.html	(from https://investorrelations.contact.eg/en/leadership)
16:23:37	54172/54172	---M--	200	added ('OK')	image/jpeg	etag:%22a5e69d1fcee250136290ae18c6490cbd%22	https://irfiles.technologyverse.com/srwa/Dr.-Manal-Hussein.jpg	C:/My%20Web%20Sites/ir/irfiles.technologyverse.com/srwa/Dr.-Manal-Hussein.jpg	(from https://investorrelations.contact.eg/en/leadership)
16:23:38	84607/84607	---M--	200	added ('OK')	image/png	etag:%2223b7ae8ad906d50f12711b780e7b6259%22	https://irfiles.technologyverse.com/srwa/John-Saad.png	C:/My%20Web%20Sites/ir/irfiles.technologyverse.com/srwa/John-Saad.png	(from https://investorrelations.contact.eg/en/leadership)
16:23:38	104588/104588	---M--	200	added ('OK')	image/png	etag:%2209ce3144812f05939e9c543945ce4575%22	https://irfiles.technologyverse.com/srwa/hazem-barakat.png	C:/My%20Web%20Sites/ir/irfiles.technologyverse.com/srwa/hazem-barakat.png	(from https://investorrelations.contact.eg/en/leadership)
16:23:38	113066/113066	---M--	200	added ('OK')	image/png	etag:%222b018bea3413f99df17740dd8da4bb74%22	https://irfiles.technologyverse.com/srwa/Ashraf-Zaki-IR.png	C:/My%20Web%20Sites/ir/irfiles.technologyverse.com/srwa/Ashraf-Zaki-IR.png	(from https://investorrelations.contact.eg/en/leadership)
16:23:39	17811/17811	---M--	200	added ('OK')	image/jpeg	etag:%2253c0089b12a2e8b650f21f86d2065c66%22	https://irfiles.technologyverse.com/srwa/mohamed-arafa-Ai-.jpg	C:/My%20Web%20Sites/ir/irfiles.technologyverse.com/srwa/mohamed-arafa-Ai-.jpg	(from https://investorrelations.contact.eg/en/leadership)
16:23:40	110099/110099	---M--	200	added ('OK')	image/png	etag:%22904af4c03b90bd2deaab799c31ef6ba2%22	https://irfiles.technologyverse.com/srwa/Mohamed-Sadek-IR.png	C:/My%20Web%20Sites/ir/irfiles.technologyverse.com/srwa/Mohamed-Sadek-IR.png	(from https://investorrelations.contact.eg/en/leadership)
16:23:40	94150/94150	---M--	200	added ('OK')	image/png	etag:%223a158c7a0a29e968524c2f750cc31319%22	https://irfiles.technologyverse.com/srwa/00-Mostafa-Headshot.png	C:/My%20Web%20Sites/ir/irfiles.technologyverse.com/srwa/00-Mostafa-Headshot.png	(from https://investorrelations.contact.eg/en/leadership)
16:23:41	124632/124632	---M--	200	added ('OK')	image/png	etag:%2204eac394d9b9ae74a93c037d9dc0b647%22	https://irfiles.technologyverse.com/srwa/00-Omar-Headshot.png	C:/My%20Web%20Sites/ir/irfiles.technologyverse.com/srwa/00-Omar-Headshot.png	(from https://investorrelations.contact.eg/en/leadership)
16:23:41	84906/84906	---M--	200	added ('OK')	image/png	etag:%2229604d337106f9d8b2e5aa1058cd96d2%22	https://irfiles.technologyverse.com/srwa/Sherif-Salem-IR.png	C:/My%20Web%20Sites/ir/irfiles.technologyverse.com/srwa/Sherif-Salem-IR.png	(from https://investorrelations.contact.eg/en/leadership)
16:23:42	57339/57339	---M--	200	added ('OK')	image/jpeg	etag:%224a412ee398cfece6dad3726d33515ef3%22	https://irfiles.technologyverse.com/srwa/Zeinab-Hashem-Ai.jpg	C:/My%20Web%20Sites/ir/irfiles.technologyverse.com/srwa/Zeinab-Hashem-Ai.jpg	(from https://investorrelations.contact.eg/en/leadership)
16:23:42	33360/33360	---M-Z	200	added ('OK')	text/html	date:Mon,%2004%20May%202026%2013:23:42%20GMT	https://investorrelations.contact.eg/ar/securitization-issuances	C:/My%20Web%20Sites/ir/investorrelations.contact.eg/ar/securitization-issuances.html	(from https://investorrelations.contact.eg/en/securitization-issuances)
16:23:42	30911/30911	---M-Z	200	added ('OK')	text/html	date:Mon,%2004%20May%202026%2013:23:42%20GMT	https://investorrelations.contact.eg/en/first-issuance	C:/My%20Web%20Sites/ir/investorrelations.contact.eg/en/first-issuance.html	(from https://investorrelations.contact.eg/en/securitization-issuances)
16:23:43	30915/30915	---M-Z	200	added ('OK')	text/html	date:Mon,%2004%20May%202026%2013:23:43%20GMT	https://investorrelations.contact.eg/en/second-issuance	C:/My%20Web%20Sites/ir/investorrelations.contact.eg/en/second-issuance.html	(from https://investorrelations.contact.eg/en/securitization-issuances)
